,p001_Gop_NR,p002_Gop_R,p003_Gop_NR,p004_Gop_R,p005_Gop_NR,p006_Gop_R,p007_Gop_R,p008_Gop_NR,p009_Gop_NR,p010_Gop_NR,p011_Gop_NR,p012_Gop_R,p013_Gop_R,p014_Gop_NR,p015_Gop_R,p016_Gop_NR,p017_Gop_R,p018_Gop_R,p019_Gop_NR,p020_Gop_R,p021_Gop_R,p022_Gop_R,p023_Gop_R,p024_Gop_NR,p025_Gop_R,p071_Fra_NR,p072_Fra_R,p065_Fra_NR,p066_Fra_R,p067_Fra_R,p068_Fra_R,p069_Fra_NR,p070_Fra_R,p093_Fra_R,p103_Fra_R,p102_Fra_R,p101_Fra_R,p100_Fra_NR,p090_Fra_NR,p089_Fra_NR,p082_Fra_NR,p081_Fra_R,p084_Fra_NR,p083_Fra_NR,p086_Fra_NR,p085_Fra_NR,p088_Fra_R,p087_Fra_NR,p098_Fra_NR,p099_Fra_NR,p092_Fra_NR,p076_Fra_NR,p077_Fra_NR,p078_Fra_R,p073_Fra_NR,p074_Fra_R,p075_Fra_NR,p096_Fra_R,p097_Fra_R,p094_Fra_R,p095_Fra_NR,p079_Fra_R,p080_Fra_R,p091_Fra_R,p039_Mat_NR,p053_Mat_R,p032_Mat_R,p029_Mat_NR,p030_Mat_NR,p031_Mat_NR,p033_Mat_NR,p038_Mat_NR,p055_Mat_NR,p059_Mat_NR,p027_Mat_R,p026_Mat_NR,p064_Mat_NR,p042_Mat_NR,p028_Mat_NR,p051_Mat_R,p047_Mat_R,p046_Mat_NR,p044_Mat_R,p045_Mat_NR,p048_Mat_R,p054_Mat_NR,p057_Mat_R,p056_Mat_NR,p050_Mat_NR,p058_Mat_R,p061_Mat_R,p060_Mat_R,p062_Mat_NR,p052_Mat_R,p063_Mat_R,p035_Mat_NR,p049_Mat_NR,p037_Mat_R,p034_Mat_NR,p036_Mat_NR,p040_Mat_R,p043_Mat_NR,p041_Mat_NR,p010_Pet_NR,p011_Pet_NR,p012_Pet_R,p045_Pet_NR,p023_Pet_R,p024_Pet_R,p008_Pet_R,p009_Pet_NR,p006_Pet_NR,p007_Pet_R,p030_Pet_R,p027_Pet_NR,p039_Pet_R,p048_Pet_R,p036_Pet_R,p033_Pet_R,p020_Pet_R,p019_Pet_NR,p022_Pet_R,p021_Pet_NR,p016_Pet_R,p015_Pet_R,p018_Pet_R,p017_Pet_R,p014_Pet_NR,p013_Pet_R,p042_Pet_R
ref_mOTU_v2_0001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0002,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0003,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0004,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4.072804877,-8,-8,-8,-8,-8,-8,-4.361533559,-8,-4.282584165,-3.766089939,-8,-8,-8,-3.775875657,-8,-8,-4.379509601,-8,-8,-8,-3.980779615,-8,-3.641455089,-8,-4.427694284,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4.296162344,-8,-8,-8,-8,-3.445636558,-8,-8,-8,-8,-8,-8,-3.590908456,-8,-8,-4.168462932,-8,-8,-8,-8,-8,-4.212170096,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4.140290896,-8,-8,-8,-3.958046416,-8,-8,-8,-3.289312883,-8,-8,-3.936903231,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0005,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.407719623,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.942466064,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.591759746,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4.43736212,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.958046416,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0006,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0007,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.942466064,-8,-8,-8,-8,-8,-8,-8,-4.3354441,-8,-8,-8,-8,-8,-8,-8,-8,-4.634632446,-8,-8,-8,-8,-8,-3.989674309,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0008,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0009,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
ref_mOTU_v2_0010,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
