"","p001_Gop_NR","p002_Gop_R","p003_Gop_NR","p004_Gop_R","p005_Gop_NR","p006_Gop_R","p007_Gop_R","p008_Gop_NR","p009_Gop_NR","p010_Gop_NR","p011_Gop_NR","p012_Gop_R","p013_Gop_R","p014_Gop_NR","p015_Gop_R","p016_Gop_NR","p017_Gop_R","p018_Gop_R","p019_Gop_NR","p020_Gop_R","p021_Gop_R","p022_Gop_R","p023_Gop_R","p024_Gop_NR","p025_Gop_R","p071_Fra_NR","p072_Fra_R","p065_Fra_NR","p066_Fra_R","p067_Fra_R","p068_Fra_R","p069_Fra_NR","p070_Fra_R","p093_Fra_R","p103_Fra_R","p102_Fra_R","p101_Fra_R","p100_Fra_NR","p090_Fra_NR","p089_Fra_NR","p082_Fra_NR","p081_Fra_R","p084_Fra_NR","p083_Fra_NR","p086_Fra_NR","p085_Fra_NR","p088_Fra_R","p087_Fra_NR","p098_Fra_NR","p099_Fra_NR","p092_Fra_NR","p076_Fra_NR","p077_Fra_NR","p078_Fra_R","p073_Fra_NR","p074_Fra_R","p075_Fra_NR","p096_Fra_R","p097_Fra_R","p094_Fra_R","p095_Fra_NR","p079_Fra_R","p080_Fra_R","p091_Fra_R","p039_Mat_NR","p053_Mat_R","p032_Mat_R","p029_Mat_NR","p030_Mat_NR","p031_Mat_NR","p033_Mat_NR","p038_Mat_NR","p055_Mat_NR","p059_Mat_NR","p027_Mat_R","p026_Mat_NR","p064_Mat_NR","p042_Mat_NR","p028_Mat_NR","p051_Mat_R","p047_Mat_R","p046_Mat_NR","p044_Mat_R","p045_Mat_NR","p048_Mat_R","p054_Mat_NR","p057_Mat_R","p056_Mat_NR","p050_Mat_NR","p058_Mat_R","p061_Mat_R","p060_Mat_R","p062_Mat_NR","p052_Mat_R","p063_Mat_R","p035_Mat_NR","p049_Mat_NR","p037_Mat_R","p034_Mat_NR","p036_Mat_NR","p040_Mat_R","p043_Mat_NR","p041_Mat_NR","p005_Val_NR","p006_Val_NR","p007_Val_R","p026_Val_NR","p018_Val_R","p019_Val_R","p003_Val_R","p004_Val_NR","p001_Val_NR","p002_Val_R","p021_Val_R","p020_Val_NR","p024_Val_R","p027_Val_R","p023_Val_R","p022_Val_R","p015_Val_R","p014_Val_NR","p017_Val_R","p016_Val_NR","p011_Val_R","p010_Val_R","p013_Val_R","p012_Val_R","p009_Val_NR","p008_Val_R","p025_Val_R"
"ref_mOTU_v2_0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117104374555617,0,0,0,0,0,0,0.0614136153362601,0,0.0733532853383609,0.228172513758249,0,0,0,0.22346240108016,0,0,0.0589731443468451,0,0,0,0.143413077048723,0,0.296675302955451,0,0.052890638657082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711497183538985,0,0,0,0,0.441893747899919,0,0,0,0,0,0,0.329402020228058,0,0,0.094692798511451,0,0,0,0,0,0.0858898423821376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100823064148791,0,0,0,0.150731436209001,0,0,0,0.598044468008205,0,0,0.157854739110448,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150897125722127,0,0,0,0.155950277961713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160179321972841,0,0,0,0.140642647381967,0,0,0.0519366058131144,0,0,0,0,0,0.0557718954114192,0,0,0,0,0,0,0.0858898423821376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203581341834668,0,0,0,0,0,0,0.0688537897791982,0,0,0,0,0,0,0,0,0,0,0,0,0.0774205294130353,0,0,0.108141941171211,0,0,0,0,0,0,0,0.0727575657699413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720344825731059,0,0,0,0,0,0,0,0.0291640220271218,0,0,0,0.0517465734692859,0,0,0,0.126990361258292,0,0,0,0,0,0,0,0,0.0902825039957242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688537897791982,0,0,0,0,0,0,0,0,0,0,0,0,0.220812207782586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153064428328585,0,0.0720344825731059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126990361258292,0,0,0,0,0,0,0,0,0,0,0,0.0257709197958916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223012446433401
"ref_mOTU_v2_0030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688537897791982,0,0,0,0,0,0,0,0,0,0,0,0,0.150897125722127,0,0,0.108141941171211,0,0,0.052890638657082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785612066346567,0,0.206135693602085,0,0,0,0,0,0,0,0.0291640220271218,0,0,0,0,0,0,0,0.205837160541915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378894882216816,0,0.0495530746216351,0,0.100823064148791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0031",0,0,0.161906826546387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711006176162595,0,0.0784309116061332,0.159567479280132,0,0,0,0.197423923001915,0.0614136153362601,0,0.0733532853383609,0.0801347149262486,0,0.120899433352213,0,0,0,0,0.322325327601597,0,1.18141180297158,0,0.0734878269628745,0.47425007998857,0.155950277961713,0,0.153187793257789,0,0.0727649066418858,0,0,0.142021336853165,0.0651322592892103,0,0.119170747798045,0,0,0,0,0.323644423671205,0,0,0,0.160179321972841,0,0.0398152884558014,0,1.12270901392222,0,0.0557115841473206,0.0519366058131144,0.0999357343319841,0,0,0.174081961375513,0.0577501571966107,0,0.094692798511451,0,0.0517465734692859,0,0,0.0633362630912813,0.419411514880654,0,0,0,0,0,0,0,0,0.175246413023053,0,0,0.100431613760308,0.28831658601039,0.378894882216816,0,0.0495530746216351,0,0.100823064148791,0,0,0,0.287193678758273,0,0,0.252598452149159,0,0,0,0.490256354499862,0,0,0.313226142973538,0,0,0,0,0,0
"ref_mOTU_v2_0036",1.60248532796875,0,3.94209653881521,0.518655495657265,2.23439842529407,0,5.98174129556201,0.355564075503778,0.429794267832631,3.49810212819097,4.96208853488763,0,2.14062207863292,0,0,0.203045616151874,4.80733532825378,0,0.265461143228334,0,0,0.140931392169893,0.445717117368271,3.86868810925728,0,2.20385992079007,2.17253758773724,0.0798861630436504,0.324913157983373,2.10355771007888,2.96643475727284,2.24563901264552,3.42897434774754,0.11151214777362,0.074374525448492,0.0688537897791982,1.52103652753422,1.42533688190956,4.25150339901241,1.37810589459104,0.129802925231585,0.906217853679383,0,0.41690944338207,2.18957625286856,4.2293815527688,3.57167362048979,2.5868534778933,1.07217209433054,0.154786289699412,1.06860754856619,0.208739943905569,4.99711502109654,4.46072756491156,0.377101971982277,0,0.208131586998093,1.63969533388156,3.22099048356086,0.0727575657699413,0.127450621481073,0.837141594947468,0.680569890901804,0.136591538774768,0.119820395620715,5.08049479406683,0,0.878366916191238,4.95834610180334,0.127942610492151,2.09962562190621,1.97660212454881,0,0.85717198055516,4.44242477330592,6.19052861653905,3.09573525280804,0,0.93839020830505,2.48296341895453,5.51458807725884,0,5.37816244431775,0.652398051257588,0,1.50163076662926,3.00743037113858,0.285833097272078,0.162757066647199,0.139668357714349,5.07732293331232,5.48438422808301,1.1429146771021,5.46866003962121,0,3.93039152186096,0.126024645721405,7.24980486371268,0.106125747393504,5.64679758709573,1.55451947013391,3.03787375794625,0.0314010359004021,4.24286320761416,0.28831658601039,0.536568293862531,3.62635811351838,1.59777776694864,0.262429870384642,1.06058445757419,0,0.589323295096954,0.15492771363833,2.57433094899127,0.607922764879479,5.7020293838291,0.654483947180361,0,0.391140210443324,1.59091370450888,0,0,0.312970330449624,5.20030998749414,0.476605699141432,0,0,0,0,1.81045238629952
"ref_mOTU_v2_0042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143413077048723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154755820372846,0,0,0,0,0,0.174081961375513,0,0,0,0,0,0,0,0,0,0,0.046685679812085,0,0,0,0,0,3.63448642664827,0,0,0,0,0,0,0,0,0,0,0,0,0.15492771363833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597400397941804,0.152816943959285,0.0819887112396387,0,0.0568332128955956,0,0,0,0,0,0.0801347149262486,0,0,0,0,0,0,0,0.515254210175834,0.0774205294130353,0,0,0,0,0,0,0.0636380417634778,0,0,0,0,0.187188187270424,0,0,0,0.0491286396833226,0.239298523443855,0,0,0,0,0.138954830662869,0,0,0,0,0,0,0,0,0.19339510092681,0,0,0,0,0,0,0,0.663849308371279,0.162757066647199,0,0,0,0,0.0919078445304257,0,0,0.54241912428909,0.0601234983084903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960053967432414,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996870429688812,0.220812207782586,0,0,0.208739943905569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268784258275841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435840007976156,0,0,0,0,0,0,0,0,0.0902825039957242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111572545327522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ref_mOTU_v2_0076",0,0,0,0,0,0,0.792195114886598,0,0,1.51458535153102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249748944410409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05282957543757,0,0,0,0,0,0.220812207782586,0,0.0734878269628745,0,0,0,0,0,0,0,0,0,0,0,0.119170747798045,0,0,0,0,0,0,0,0,0.666420400711508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54241912428909,0,0,0,0,0.215591425256047,0,0,0,0,0.58920127199125,0,0,0,0,0,0,0.287193678758273,0.0816521982662478,0,0,0.141083113494562,0.142491626112762,0,0,0,0,0,0,0,0,0,0,0
